id;regime;year;TOTAL_SOIL_c;NBP_pool_c;NPP;AREA
34.5_-0.5;initial_state;2020;0.0;0.0;0.0;1
34.5_-0.5;BAU;2050;1194.485595703125;2.5610025211619813e-10;1.8177435398101807;1
34.5_-0.5;BAUnDIACUT;2050;1197.413330078125;9.067250283933959e-10;1.8782575130462646;1
34.5_-0.5;BAUpDIACUT;2050;1181.9390869140625;-2.484194183693944e-08;1.691633701324463;1
34.5_-0.5;BAUpTHININT;2050;1191.685791015625;8.690340114192452e-10;1.8634958267211914;1
34.5_-0.5;BAUnTHININT;2050;1204.518798828125;7.467109153225238e-10;1.880793571472168;1
34.5_-0.5;BAUppRESIDUAL;2050;1179.3175048828125;5.492087895575537e-10;1.8190187215805054;1
34.5_-0.5;BAUpRESIDUAL;2050;1186.7166748046875;8.350027336234689e-10;1.8431882858276367;1
34.5_-0.5;BAUpN;2050;1200.4493408203125;-1.4463386044383242e-09;1.9063775539398193;1
34.5_-1.5;initial_state;2020;0.0;0.0;0.0;1
34.5_-1.5;BAU;2050;1841.83203125;-8.26099011419501e-09;2.940100908279419;1
34.5_-1.5;BAUnDIACUT;2050;1828.032958984375;-9.409536261273388e-09;2.9438743591308594;1
34.5_-1.5;BAUpDIACUT;2050;1853.963134765625;-1.2824618700335577e-08;2.8778786659240723;1
34.5_-1.5;BAUpTHININT;2050;1840.1146240234375;-2.1696071605958878e-09;2.9945318698883057;1
34.5_-1.5;BAUnTHININT;2050;1835.1474609375;-7.074320684807844e-09;2.9696738719940186;1
34.5_-1.5;BAUppRESIDUAL;2050;1834.066650390625;-7.601079765606755e-09;2.9689087867736816;1
34.5_-1.5;BAUpRESIDUAL;2050;1828.327880859375;-1.0322077415025888e-08;2.975515842437744;1
34.5_-1.5;BAUpN;2050;1853.990234375;-1.8845458527039227e-10;2.928581476211548;1
34.5_-2.5;initial_state;2020;0.0;0.0;0.0;1
34.5_-2.5;BAU;2050;2674.82373046875;-4.0636805032079337e-10;4.023777008056641;1
34.5_-2.5;BAUnDIACUT;2050;2614.329345703125;-5.433704153290364e-09;3.9032504558563232;1
34.5_-2.5;BAUpDIACUT;2050;2569.240478515625;-3.4818523619861708e-09;4.315291881561279;1
34.5_-2.5;BAUpTHININT;2050;2620.1572265625;-3.6482483700694956e-09;3.9650049209594727;1
34.5_-2.5;BAUnTHININT;2050;2700.39111328125;-2.8612917590820075e-10;3.9924826622009277;1
34.5_-2.5;BAUppRESIDUAL;2050;2694.651123046875;7.517608757723337e-11;4.110276699066162;1
34.5_-2.5;BAUpRESIDUAL;2050;2679.593994140625;-4.384635987619845e-10;4.0992207527160645;1
34.5_-2.5;BAUpN;2050;2673.162841796875;1.082182121692199e-09;4.027190685272217;1
34.5_-3.5;initial_state;2020;0.0;0.0;0.0;1
34.5_-3.5;BAU;2050;2384.588623046875;8.229037451457089e-10;5.05696439743042;1
34.5_-3.5;BAUnDIACUT;2050;2355.234619140625;2.7595841167737944e-09;4.961366653442383;1
34.5_-3.5;BAUpDIACUT;2050;2344.23974609375;3.036703555281406e-09;5.208468437194824;1
34.5_-3.5;BAUpTHININT;2050;2386.872802734375;1.7522286954729793e-09;5.129322052001953;1
34.5_-3.5;BAUnTHININT;2050;2375.08056640625;3.6796674041106314e-10;4.962255477905273;1
34.5_-3.5;BAUppRESIDUAL;2050;2350.529541015625;1.0207793499361628e-09;5.041445255279541;1
34.5_-3.5;BAUpRESIDUAL;2050;2356.427978515625;2.0355579444242267e-09;5.014535903930664;1
34.5_-3.5;BAUpN;2050;2387.896240234375;-2.0755608343137055e-10;5.064484596252441;1
34.5_-4.5;initial_state;2020;0.0;0.0;0.0;1
34.5_-4.5;BAU;2050;3920.91552734375;-1.092068657726486e-08;4.755598545074463;1
34.5_-4.5;BAUnDIACUT;2050;3917.725830078125;-1.6553867610014095e-08;4.753934383392334;1
34.5_-4.5;BAUpDIACUT;2050;3930.0234375;1.0272185768656072e-08;4.843797206878662;1
34.5_-4.5;BAUpTHININT;2050;3936.10888671875;-3.934390591098236e-08;4.781341075897217;1
34.5_-4.5;BAUnTHININT;2050;3946.73046875;-4.935619557500104e-08;4.7951884269714355;1
34.5_-4.5;BAUppRESIDUAL;2050;3918.029296875;-1.52573385037158e-08;4.729165554046631;1
34.5_-4.5;BAUpRESIDUAL;2050;3915.7734375;-1.2798297532867764e-08;4.761229515075684;1
34.5_-4.5;BAUpN;2050;3921.861328125;-1.4677155490971927e-08;4.735136032104492;1
34.5_-5.5;initial_state;2020;0.0;0.0;0.0;1
34.5_-5.5;BAU;2050;3276.059326171875;2.0073531725728344e-10;2.01027774810791;1
34.5_-5.5;BAUnDIACUT;2050;3276.787841796875;-7.553702108253901e-10;1.9870153665542603;1
34.5_-5.5;BAUpDIACUT;2050;3247.95703125;-1.1227747620523587e-09;1.9170461893081665;1
34.5_-5.5;BAUpTHININT;2050;3269.811279296875;4.660405394929512e-10;2.0119075775146484;1
34.5_-5.5;BAUnTHININT;2050;3277.200439453125;-1.565320428831285e-09;1.9801805019378662;1
34.5_-5.5;BAUppRESIDUAL;2050;3280.30810546875;-8.878366930531456e-10;2.0237467288970947;1
34.5_-5.5;BAUpRESIDUAL;2050;3284.44677734375;-8.888068059320631e-11;2.002861738204956;1
34.5_-5.5;BAUpN;2050;3273.192626953125;4.686006027654344e-10;2.020536422729492;1
34.5_-6.5;initial_state;2020;0.0;0.0;0.0;1
34.5_-6.5;BAU;2050;2302.188720703125;-4.6345354220989066e-09;4.754842758178711;1
34.5_-6.5;BAUnDIACUT;2050;2270.7734375;-6.820735976020842e-09;4.524633407592773;1
